TestName,ElementCount,ElapsedMS
ScatterNode_Execution,100,1.309000
ScatterNode_Execution,500,1.102400
ScatterNode_Execution,1000,1.321300
ScatterNode_Execution,5000,2.578600
ScatterNode_Execution,10000,4.791900
ScatterNode_Execution,25000,9.267500
ScatterNode_Execution,50000,18.842600
ScatterNode_Execution,75000,29.240600
ScatterNode_Execution,100000,36.262900
ScatterNode_Execution,250000,86.884100
ScatterNode_Execution,500000,134.866700
ScatterNode_Execution,750000,217.400100
ScatterNode_Execution,1000000,297.313400
MeshData_TransformBy,121,0.148800
MeshData_TransformBy,441,0.463600
MeshData_TransformBy,961,0.836200
MeshData_TransformBy,1681,1.377900
MeshData_TransformBy,2601,1.262000
MeshData_TransformBy,5776,2.172200
MeshData_TransformBy,10201,2.937500
MeshData_TransformBy,15876,4.462600
MeshData_TransformBy,22801,4.909900
MeshData_TransformBy,30976,6.830200
MeshData_TransformBy,40401,8.783500
MeshData_TransformBy,63001,13.836000
MeshData_TransformBy,90601,19.979800
MeshData_TransformBy,123201,27.197600
MeshData_TransformBy,160801,34.314000
MeshData_Append,242,0.041500
MeshData_Append,882,0.132700
MeshData_Append,1922,0.396600
MeshData_Append,3362,0.528400
MeshData_Append,5202,0.836800
MeshData_Append,11552,2.160100
MeshData_Append,20402,3.752700
MeshData_Append,31752,5.808000
MeshData_Append,45602,8.449500
MeshData_Append,61952,11.421900
MeshData_Append,80802,15.781000
HydraulicErosion_Execution,256,5.368600
HydraulicErosion_Execution,576,5.576200
HydraulicErosion_Execution,1024,5.696400
HydraulicErosion_Execution,2304,6.729700
HydraulicErosion_Execution,4096,8.159400
HydraulicErosion_Execution,6400,16.385600
HydraulicErosion_Execution,9216,11.851500
HydraulicErosion_Execution,12544,14.390800
HydraulicErosion_Execution,16384,16.907800
Scene_Load_Interior.json,1,4991.165300
Scene_Load_Planets.json,1,38532.523500
Scene_Load_City_Grid.json,1,3392.124800
Scene_Load_San_Miguel.json,1,39937.623700
