TestName,ElementCount,ElapsedMS
ScatterNode_Execution,100,1.227500
ScatterNode_Execution,500,1.593200
ScatterNode_Execution,1000,1.591400
ScatterNode_Execution,5000,2.826400
ScatterNode_Execution,10000,3.694900
ScatterNode_Execution,25000,7.377000
ScatterNode_Execution,50000,12.583200
ScatterNode_Execution,75000,20.281800
ScatterNode_Execution,100000,22.531500
ScatterNode_Execution,250000,60.582000
ScatterNode_Execution,500000,100.738500
ScatterNode_Execution,750000,150.513400
ScatterNode_Execution,1000000,179.718500
MeshData_TransformBy,121,0.143700
MeshData_TransformBy,441,0.364400
MeshData_TransformBy,961,0.809700
MeshData_TransformBy,1681,2.131700
MeshData_TransformBy,2601,2.320600
MeshData_TransformBy,5776,1.942000
MeshData_TransformBy,10201,2.595700
MeshData_TransformBy,15876,3.832800
MeshData_TransformBy,22801,5.183700
MeshData_TransformBy,30976,5.065600
MeshData_TransformBy,40401,6.996600
MeshData_TransformBy,63001,15.266200
MeshData_TransformBy,90601,18.421800
MeshData_TransformBy,123201,27.784400
MeshData_TransformBy,160801,36.385500
MeshData_Append,242,0.041000
MeshData_Append,882,0.126500
MeshData_Append,1922,0.317800
MeshData_Append,3362,0.591600
MeshData_Append,5202,0.842200
MeshData_Append,11552,1.957100
MeshData_Append,20402,3.344500
MeshData_Append,31752,5.236600
MeshData_Append,45602,7.385600
MeshData_Append,61952,10.034800
MeshData_Append,80802,12.994000
HydraulicErosion_Execution,256,3.728800
HydraulicErosion_Execution,576,3.726700
HydraulicErosion_Execution,1024,4.145800
HydraulicErosion_Execution,2304,4.659700
HydraulicErosion_Execution,4096,5.723200
HydraulicErosion_Execution,6400,7.051100
HydraulicErosion_Execution,9216,9.196700
HydraulicErosion_Execution,12544,11.147300
HydraulicErosion_Execution,16384,13.312700
Scene_Load_Interior.json,1,3168.314700
Scene_Load_Planets.json,1,31707.071900
Scene_Load_City_Grid.json,1,2563.139900
Scene_Load_San_Miguel.json,1,34500.512100
